Equipo,Disponible limite salarial,Disponible presupuesto,Disponible MLE,Caphold retenido,Efectivo LS (- Cap Hold),Efectivo Presupuesto (- firmas retrasadas)
"Atlanta Hawks",59609343.00,117609343.00,9370000.00,48393133.00,11216210.00,117609343.00
"Boston Celtics",-31522504.00,26477496.00,9370000.00,11025000.00,-42547504.00,26477496.00
"Brooklyn Nets",20762648.00,76026648.00,9370000.00,43983133.00,-23220485.00,76026648.00
"Charlotte Hornets",-7672758.00,50327242.00,9370000.00,0.00,-7672758.00,50327242.00
"Chicago Bulls",-42266189.00,15733811.00,9370000.00,1800000.00,-44066189.00,15733811.00
"Cleveland Cavaliers",-20136537.00,37863463.00,9370000.00,8878258.00,-29014795.00,37863463.00
"Dallas Mavericks",-15490778.00,31109222.00,9370000.00,29160000.00,-44650778.00,31109222.00
"Denver Nuggets",-7980267.00,47739733.00,9370000.00,9825754.00,-17806021.00,47739733.00
"Detroit Pistons",43419167.00,101419167.00,9370000.00,81287392.00,-37868225.00,101419167.00
"Golden State Warriors",-34288141.00,23711859.00,9370000.00,6802445.00,-41090586.00,23711859.00
"Houston Rockets",51986148.00,108846148.00,9370000.00,59206464.00,-7220316.00,108846148.00
"Indiana Pacers",-9871694.00,48128306.00,9370000.00,6363903.00,-16235597.00,48128306.00
"Los Angeles Clippers",-29955871.00,26904129.00,9370000.00,0.00,-29955871.00,26904129.00
"Los Angeles Lakers",9850725.00,67850725.00,9370000.00,58903930.00,-49053205.00,67850725.00
"Memphis Grizzlies",-3660258.00,54339742.00,9370000.00,41024021.00,-44684279.00,54339742.00
"Miami Heat",-27380887.00,30619113.00,9370000.00,16864903.00,-44245790.00,30619113.00
"Milwaukee Bucks",-38228505.00,19771495.00,9370000.00,11923538.00,-50152043.00,19771495.00
"Minnesota Timberwolves",-9033135.00,48966865.00,9370000.00,19706112.00,-28739247.00,48966865.00
"New Orleans Pelicans",-10176092.00,45543908.00,9370000.00,37028450.00,-47204542.00,45543908.00
"New York Knicks",51542207.00,109542207.00,9370000.00,92610036.00,-41067829.00,109542207.00
"Oklahoma City Thunder",-25541831.00,32458169.00,9370000.00,7822811.00,-33364642.00,32458169.00
"Orlando Magic",77661001.00,135661001.00,9370000.00,88421826.00,-10760825.00,135661001.00
"Philadelphia 76ers",38292227.00,96292227.00,9370000.00,74693922.00,-36401695.00,96292227.00
"Phoenix Suns",15870336.00,73870336.00,9370000.00,19664034.00,-3793698.00,73870336.00
"Portland Trail Blazers",-8242513.00,49757487.00,9370000.00,19831862.00,-28074375.00,49757487.00
"Sacramento Kings",-30689888.00,27310112.00,9370000.00,6300000.00,-36989888.00,27310112.00
"San Antonio Spurs",20690786.00,78690786.00,9370000.00,22050000.00,-1359214.00,78690786.00
"Toronto Raptors",-44567198.00,9556802.00,9370000.00,4500000.00,-49067198.00,9556802.00
"Utah Jazz",22324850.00,79184850.00,9370000.00,48897783.00,-26572933.00,79184850.00
"Washington Wizards",-51726545.00,6273455.00,9370000.00,0.00,-51726545.00,6273455.00